seqnames	start	end	strand	bsg_id	gene	locus_tag	operon_id
basu168	952858	952947	+	BSGatlas-gene-1065	trnD-Leu1	BSU_TRNA_43	BSGatlas-operon-490
basu168	953212	953294	+	BSGatlas-gene-1066	trnD-Leu2	BSU_TRNA_44	BSGatlas-operon-490
basu168	953373	954149	-	BSGatlas-gene-1067	spo0M	BSU_08760	BSGatlas-operon-492
basu168	954291	954494	+	BSGatlas-gene-1068	ygzA	BSU_08770	BSGatlas-operon-493
basu168	954579	954851	-	BSGatlas-gene-1069	ygzC	BSU_08779	BSGatlas-operon-494
basu168	87634	88635	+	BSGatlas-gene-107	yacF	BSU_00810	BSGatlas-operon-37
basu168	954893	955585	+	BSGatlas-gene-1070	ygaJ	BSU_08780	BSGatlas-operon-495
basu168	955654	955762	+	BSGatlas-gene-1071	Thi-box	BSU_MISC_RNA_11	BSGatlas-operon-496
basu168	955895	957667	+	BSGatlas-gene-1072	thiC	BSU_08790	BSGatlas-operon-497
basu168	957705	959060	-	BSGatlas-gene-1073	ygaK	BSU_08800	BSGatlas-operon-498
basu168	959311	959508	+	BSGatlas-gene-1074	senS	BSU_08810	BSGatlas-operon-499
basu168	959535	960986	-	BSGatlas-gene-1075	katA	BSU_08820	BSGatlas-operon-500
basu168	961009	961338	+	BSGatlas-gene-1076	S309	NEW_961009_961338	BSGatlas-operon-501
basu168	961394	962161	+	BSGatlas-gene-1077	ssuB	BSU_08830	BSGatlas-operon-502
basu168	962179	963177	+	BSGatlas-gene-1078	ssuA	BSU_08840	BSGatlas-operon-502
basu168	963174	964004	+	BSGatlas-gene-1079	ssuC	BSU_08850	BSGatlas-operon-502
basu168	88050	89566	-	BSGatlas-gene-108	S41	NEW_88050_89566_C	BSGatlas-operon-38
basu168	964027	965157	+	BSGatlas-gene-1080	ssuD	BSU_08860	BSGatlas-operon-502
basu168	965261	965797	+	BSGatlas-gene-1081	ygaN	BSU_08870	BSGatlas-operon-502
basu168	965909	966178	+	BSGatlas-gene-1082	rpsNB	BSU_08880	BSGatlas-operon-503
basu168	966196	966669	-	BSGatlas-gene-1083	ygaO	BSU_08890	BSGatlas-operon-504
basu168	966671	966871	-	BSGatlas-gene-1084	ygzD	BSU_08899	BSGatlas-operon-504
basu168	967064	967138	+	BSGatlas-gene-1085	trnSL-Gly1	BSU_TRNA_82	BSGatlas-operon-505
basu168	967229	967852	-	BSGatlas-gene-1086	yhzB	BSU_08900	BSGatlas-operon-506
basu168	967935	969095	+	BSGatlas-gene-1087	queG	BSU_08910	BSGatlas-operon-507
basu168	969162	970097	+	BSGatlas-gene-1088	yhbB	BSU_08920	BSGatlas-operon-508
basu168	970135	970617	+	BSGatlas-gene-1089	cspR	BSU_08930	BSGatlas-operon-508
basu168	88727	90226	+	BSGatlas-gene-109	lysS	BSU_00820	BSGatlas-operon-37
basu168	970667	971383	+	BSGatlas-gene-1090	yhbD	BSU_08940	BSGatlas-operon-509
basu168	971374	972087	+	BSGatlas-gene-1091	yhbE	BSU_08950	BSGatlas-operon-509
basu168	972099	972806	+	BSGatlas-gene-1092	yhbF	BSU_08960	BSGatlas-operon-509
basu168	972833	973008	-	BSGatlas-gene-1093	S313	NEW_972833_973008_C	BSGatlas-operon-510
basu168	973156	975051	+	BSGatlas-gene-1094	prkA	BSU_08970	BSGatlas-operon-511
basu168	975231	976409	+	BSGatlas-gene-1095	yhbH	BSU_08980	BSGatlas-operon-512
basu168	976569	977033	+	BSGatlas-gene-1096	yhbI	BSU_08990	BSGatlas-operon-513
basu168	977069	977734	+	BSGatlas-gene-1097	yhbJ	BSU_09000	BSGatlas-operon-513
basu168	977775	979373	+	BSGatlas-gene-1098	yhcA	BSU_09010	BSGatlas-operon-513
basu168	979396	979926	+	BSGatlas-gene-1099	yhcB	BSU_09020	BSGatlas-operon-513
basu168	9748	9815	-	BSGatlas-gene-11	Bacillaceae-1	NA	NA
basu168	90536	92089	+	BSGatlas-gene-110	rrnJ-16S	BSU_RRNA_6	BSGatlas-operon-39
basu168	979939	980313	+	BSGatlas-gene-1100	yhcC	BSU_09030	BSGatlas-operon-513
basu168	980313	980468	+	BSGatlas-gene-1101	yhcD	BSU_09040	BSGatlas-operon-513
basu168	980473	981234	+	BSGatlas-gene-1102	yhcE	BSU_09050	BSGatlas-operon-513
basu168	981237	981602	+	BSGatlas-gene-1103	yhcF	BSU_09060	BSGatlas-operon-513
basu168	981604	982302	+	BSGatlas-gene-1104	yhcG	BSU_09070	BSGatlas-operon-513
basu168	982319	983236	+	BSGatlas-gene-1105	yhcH	BSU_09080	BSGatlas-operon-513
basu168	983229	984170	+	BSGatlas-gene-1106	yhcI	BSU_09090	BSGatlas-operon-513
basu168	984214	984527	-	BSGatlas-gene-1107	cspA	NA	BSGatlas-operon-514
basu168	984262	984465	-	BSGatlas-gene-1108	cspB	BSU_09100	BSGatlas-operon-514
basu168	984901	985731	+	BSGatlas-gene-1109	yhcJ	BSU_09110	BSGatlas-operon-515
basu168	92253	95181	+	BSGatlas-gene-111	rrnJ-23S	BSU_RRNA_7	BSGatlas-operon-39
basu168	985734	986813	-	BSGatlas-gene-1110	dgcK	BSU_09120	BSGatlas-operon-516
basu168	986986	988377	+	BSGatlas-gene-1111	tcyP	BSU_09130	BSGatlas-operon-517
basu168	988417	988872	-	BSGatlas-gene-1112	yhcM	BSU_09140	BSGatlas-operon-518
basu168	989022	989591	+	BSGatlas-gene-1113	yhcN	BSU_09150	BSGatlas-operon-519
basu168	989712	990680	+	BSGatlas-gene-1114	yhcO	BSU_09165	BSGatlas-operon-520
basu168	990612	991265	-	BSGatlas-gene-1115	yhcQ	BSU_09180	BSGatlas-operon-521
basu168	991348	995001	+	BSGatlas-gene-1116	yhcR	BSU_09190	BSGatlas-operon-522
basu168	994998	995594	+	BSGatlas-gene-1117	yhcS	BSU_09200	BSGatlas-operon-522
basu168	995624	996532	-	BSGatlas-gene-1118	yhcT	BSU_09210	BSGatlas-operon-523
basu168	996643	997038	+	BSGatlas-gene-1119	yhcU	BSU_09220	BSGatlas-operon-524
basu168	95236	95354	+	BSGatlas-gene-112	rrnJ-5S	BSU_RRNA_8	BSGatlas-operon-39
basu168	997175	997597	+	BSGatlas-gene-1120	yhcV	BSU_09230	BSGatlas-operon-525
basu168	997724	998386	+	BSGatlas-gene-1121	yhcW	BSU_09240	BSGatlas-operon-526
basu168	998402	999943	+	BSGatlas-gene-1122	yhcX	BSU_09250	BSGatlas-operon-526
basu168	1000027	1000218	+	BSGatlas-gene-1123	yhzG	BSU_09259	NA
basu168	1000364	1001716	+	BSGatlas-gene-1124	yhxA	BSU_09260	BSGatlas-operon-527
basu168	1001744	1002322	+	BSGatlas-gene-1125	glpP	BSU_09270	BSGatlas-operon-527
basu168	1002354	1002447	+	BSGatlas-gene-1126	glpP dependent leader	NA	NA
basu168	1002501	1003325	+	BSGatlas-gene-1127	glpF	BSU_09280	BSGatlas-operon-528
basu168	1003344	1004834	+	BSGatlas-gene-1128	glpK	BSU_09290	BSGatlas-operon-528
basu168	1004860	1004945	+	BSGatlas-gene-1129	glpP dependent leader	NA	NA
basu168	95374	95450	+	BSGatlas-gene-113	trnJ-Val	BSU_TRNA_12	BSGatlas-operon-39
basu168	1004975	1006642	+	BSGatlas-gene-1130	glpD	BSU_09300	BSGatlas-operon-529
basu168	1006774	1008519	+	BSGatlas-gene-1131	pgcA	BSU_09310	BSGatlas-operon-530
basu168	1008668	1009807	+	BSGatlas-gene-1132	yhcY	BSU_09320	BSGatlas-operon-531
basu168	1009804	1010448	+	BSGatlas-gene-1133	yhcZ	BSU_09330	BSGatlas-operon-531
basu168	1010445	1010969	+	BSGatlas-gene-1134	yhdA	BSU_09340	BSGatlas-operon-531
basu168	1010984	1011226	-	BSGatlas-gene-1135	yhdB	BSU_09350	BSGatlas-operon-532
basu168	1011427	1011750	+	BSGatlas-gene-1136	yhdC	BSU_09360	BSGatlas-operon-533
basu168	1011792	1013258	-	BSGatlas-gene-1137	lytF	BSU_09370	BSGatlas-operon-534
basu168	1013411	1013851	-	BSGatlas-gene-1138	nsrR	BSU_09380	BSGatlas-operon-535
basu168	1013861	1013971	+	BSGatlas-gene-1139	S326	NEW_1013861_1013971	BSGatlas-operon-536
basu168	95454	95530	+	BSGatlas-gene-114	trnJ-Thr	BSU_TRNA_13	BSGatlas-operon-39
basu168	1013958	1015616	-	BSGatlas-gene-1140	ygxB	BSU_09390	BSGatlas-operon-537
basu168	1015647	1017053	+	BSGatlas-gene-1141	spoVR	BSU_09400	BSGatlas-operon-538
basu168	1017083	1018468	-	BSGatlas-gene-1142	phoA	BSU_09410	BSGatlas-operon-539
basu168	1018998	1020002	+	BSGatlas-gene-1144	lytE	BSU_09420	BSGatlas-operon-541
basu168	1020073	1020948	-	BSGatlas-gene-1145	citR	BSU_09430	BSGatlas-operon-542
basu168	1021057	1022157	+	BSGatlas-gene-1146	citA	BSU_09440	BSGatlas-operon-543
basu168	1022231	1023100	+	BSGatlas-gene-1147	yhdF	BSU_09450	BSGatlas-operon-543
basu168	1023350	1024747	+	BSGatlas-gene-1148	bcaP	BSU_09460	BSGatlas-operon-544
basu168	1024865	1026220	+	BSGatlas-gene-1149	yhdH	BSU_09470	BSGatlas-operon-545
basu168	95566	95642	+	BSGatlas-gene-115	trnJ-Lys	BSU_TRNA_14	BSGatlas-operon-39
basu168	1026255	1027664	-	BSGatlas-gene-1150	yhdI	BSU_09480	BSGatlas-operon-546
basu168	1027774	1028202	+	BSGatlas-gene-1151	yhdJ	BSU_09490	BSGatlas-operon-547
basu168	1028233	1028523	-	BSGatlas-gene-1152	yhdK	BSU_09500	BSGatlas-operon-548
basu168	1028511	1029587	-	BSGatlas-gene-1153	yhdL	BSU_09510	BSGatlas-operon-548
basu168	1029577	1030068	-	BSGatlas-gene-1154	sigM	BSU_09520	BSGatlas-operon-548
basu168	1030265	1031260	+	BSGatlas-gene-1155	yhdN	BSU_09530	BSGatlas-operon-549
basu168	1031395	1031994	+	BSGatlas-gene-1156	plsC	BSU_09540	BSGatlas-operon-549
basu168	1032063	1033397	-	BSGatlas-gene-1157	mpfA	BSU_09550	BSGatlas-operon-550
basu168	1033458	1033889	-	BSGatlas-gene-1158	yhdQ	BSU_09560	BSGatlas-operon-550
basu168	1034046	1035227	+	BSGatlas-gene-1159	yhdR	BSU_09570	BSGatlas-operon-551
basu168	95648	95731	+	BSGatlas-gene-116	trnJ-Leu1	BSU_TRNA_15	BSGatlas-operon-39
basu168	1035409	1035538	+	BSGatlas-gene-1160	TERMseq-predicted-riboswitch	NA	NA
basu168	1035554	1036939	+	BSGatlas-gene-1161	yhdT	BSU_09590	BSGatlas-operon-552
basu168	1036953	1037309	-	BSGatlas-gene-1162	fluC	BSU_09600	BSGatlas-operon-553
basu168	1037306	1037701	-	BSGatlas-gene-1163	yhdV	BSU_09610	BSGatlas-operon-553
basu168	1037688	1038419	-	BSGatlas-gene-1164	yhdW	BSU_09620	BSGatlas-operon-553
basu168	1038653	1038760	+	BSGatlas-gene-1165	yhdX	BSU_09630	BSGatlas-operon-554
basu168	1038909	1040024	+	BSGatlas-gene-1166	yhdY	BSU_09640	BSGatlas-operon-555
basu168	1040094	1040837	+	BSGatlas-gene-1167	srtN	BSU_09650	BSGatlas-operon-556
basu168	1040861	1041709	-	BSGatlas-gene-1168	yheN	BSU_09660	BSGatlas-operon-557
basu168	1041994	1042842	+	BSGatlas-gene-1169	dat	BSU_09670	BSGatlas-operon-558
basu168	95771	95846	+	BSGatlas-gene-117	trnJ-Gly	BSU_TRNA_16	BSGatlas-operon-39
basu168	1042885	1044246	-	BSGatlas-gene-1170	nhaC	BSU_09680	BSGatlas-operon-559
basu168	1044373	1044873	-	BSGatlas-gene-1171	nhaX	BSU_09690	BSGatlas-operon-560
basu168	1044986	1045185	+	BSGatlas-gene-1172	BmrCD leader	NA	BSGatlas-operon-562
basu168	1045037	1045198	+	BSGatlas-gene-1173	bmrB	BSU_09700	BSGatlas-operon-561
basu168	1045318	1047075	+	BSGatlas-gene-1174	bmrC	BSU_09710	BSGatlas-operon-561
basu168	1047072	1049093	+	BSGatlas-gene-1175	bmrD	BSU_09720	BSGatlas-operon-561
basu168	1049142	1049762	-	BSGatlas-gene-1176	yheG	BSU_09730	BSGatlas-operon-563
basu168	1049801	1049926	-	BSGatlas-gene-1177	yheF	BSU_09740	BSGatlas-operon-563
basu168	1050031	1050234	-	BSGatlas-gene-1178	sspB	BSU_09750	BSGatlas-operon-564
basu168	1050443	1050661	-	BSGatlas-gene-1179	yheE	BSU_09760	BSGatlas-operon-565
basu168	95860	95946	+	BSGatlas-gene-118	trnJ-Leu2	BSU_TRNA_17	BSGatlas-operon-39
basu168	1050811	1052172	-	BSGatlas-gene-1180	yheD	BSU_09770	BSGatlas-operon-566
basu168	1052162	1053253	-	BSGatlas-gene-1181	yheC	BSU_09780	BSGatlas-operon-566
basu168	1053520	1054653	+	BSGatlas-gene-1182	yheB	BSU_09790	BSGatlas-operon-567
basu168	1054746	1055099	+	BSGatlas-gene-1183	yheA	BSU_09800	BSGatlas-operon-567
basu168	1055143	1056216	-	BSGatlas-gene-1184	yhaZ	BSU_09810	BSGatlas-operon-568
basu168	1056384	1056537	+	BSGatlas-gene-1185	rosA	NEW_1056384_1056537	BSGatlas-operon-569
basu168	1056702	1057568	+	BSGatlas-gene-1186	yhaX	BSU_09830	BSGatlas-operon-570
basu168	1057680	1059185	+	BSGatlas-gene-1187	hemZ	BSU_09840	BSGatlas-operon-571
basu168	1059203	1060420	-	BSGatlas-gene-1188	khtU	BSU_09850	BSGatlas-operon-572
basu168	1060427	1060924	-	BSGatlas-gene-1189	khtT	BSU_09860	BSGatlas-operon-572
basu168	95955	96032	+	BSGatlas-gene-119	trnJ-Arg	BSU_TRNA_18	BSGatlas-operon-39
basu168	1060988	1061326	-	BSGatlas-gene-1190	khtS	BSU_09870	BSGatlas-operon-572
basu168	1061491	1062258	+	BSGatlas-gene-1191	yhaR	BSU_09880	BSGatlas-operon-573
basu168	1062279	1062464	-	BSGatlas-gene-1192	yhzD	BSU_09889	BSGatlas-operon-574
basu168	1062591	1063487	+	BSGatlas-gene-1193	yhaQ	BSU_09890	BSGatlas-operon-575
basu168	1063480	1064739	+	BSGatlas-gene-1194	yhaP	BSU_09900	BSGatlas-operon-575
basu168	1064846	1066072	+	BSGatlas-gene-1195	yhaO	BSU_09910	BSGatlas-operon-576
basu168	1066077	1068968	+	BSGatlas-gene-1196	sbcE	BSU_09920	BSGatlas-operon-576
basu168	1069042	1069986	+	BSGatlas-gene-1197	yhaM	BSU_09930	BSGatlas-operon-576
basu168	1070111	1070323	+	BSGatlas-gene-1198	yhaL	BSU_09940	BSGatlas-operon-577
basu168	1070364	1071242	-	BSGatlas-gene-1199	prsA	BSU_09950	BSGatlas-operon-578
basu168	9810	11364	+	BSGatlas-gene-12	rrnO-16S	BSU_RRNA_1	BSGatlas-operon-5
basu168	96059	96136	+	BSGatlas-gene-120	trnJ-Pro	BSU_TRNA_19	BSGatlas-operon-39
basu168	1071402	1071488	+	BSGatlas-gene-1200	sscA	BSU_09958	BSGatlas-operon-579
basu168	1071613	1071699	+	BSGatlas-gene-1201	sscB	BSU_09959	BSGatlas-operon-579
basu168	1071709	1071971	-	BSGatlas-gene-1202	S348	NEW_1071709_1071971_C	BSGatlas-operon-580
basu168	1072042	1072560	-	BSGatlas-gene-1203	yhaJ	BSU_09965	BSGatlas-operon-581
basu168	1072768	1073109	+	BSGatlas-gene-1204	yhaI	BSU_09980	BSGatlas-operon-582
basu168	1073106	1073717	-	BSGatlas-gene-1205	scoC	BSU_09990	BSGatlas-operon-583
basu168	1073895	1074251	-	BSGatlas-gene-1206	yhaH	BSU_10000	BSGatlas-operon-585
basu168	1074381	1074572	+	BSGatlas-gene-1207	yhzF	BSU_10009	BSGatlas-operon-584
basu168	1074646	1075164	-	BSGatlas-gene-1208	trpP	BSU_10010	BSGatlas-operon-586
basu168	1075289	1076368	-	BSGatlas-gene-1209	serC	BSU_10020	BSGatlas-operon-586
basu168	96145	96221	+	BSGatlas-gene-121	trnJ-Ala	BSU_TRNA_20	BSGatlas-operon-39
basu168	1076515	1076952	-	BSGatlas-gene-1210	hit	BSU_10030	BSGatlas-operon-587
basu168	1077024	1077320	-	BSGatlas-gene-1211	S357	NEW_1077024_1077320_C	BSGatlas-operon-588
basu168	1077440	1078183	+	BSGatlas-gene-1212	ecsA	BSU_10040	BSGatlas-operon-589
basu168	1078176	1079402	+	BSGatlas-gene-1213	ecsB	BSU_10050	BSGatlas-operon-589
basu168	1079422	1080132	+	BSGatlas-gene-1214	ecsC	BSU_10060	BSGatlas-operon-589
basu168	1080150	1081340	-	BSGatlas-gene-1215	sndC	BSU_10070	BSGatlas-operon-590
basu168	1081413	1082804	-	BSGatlas-gene-1216	yhfA	BSU_10080	BSGatlas-operon-590
basu168	1082870	1083184	-	BSGatlas-gene-1217	yhgB	BSU_10090	NA
basu168	1083229	1083729	-	BSGatlas-gene-1218	hmoB	BSU_10100	BSGatlas-operon-591
basu168	1083851	1085995	+	BSGatlas-gene-1219	pbpF	BSU_10110	BSGatlas-operon-592
basu168	96392	97945	+	BSGatlas-gene-122	rrnW-16S	BSU_RRNA_9	NA
basu168	1086117	1087178	+	BSGatlas-gene-1220	hemE	BSU_10120	BSGatlas-operon-593
basu168	1087250	1088182	+	BSGatlas-gene-1221	hemH	BSU_10130	BSGatlas-operon-593
basu168	1088197	1089609	+	BSGatlas-gene-1222	hemY	BSU_10140	BSGatlas-operon-593
basu168	1089755	1090330	+	BSGatlas-gene-1223	yhgD	BSU_10150	BSGatlas-operon-594
basu168	1090401	1092728	+	BSGatlas-gene-1224	yhgE	BSU_10160	BSGatlas-operon-594
basu168	1092770	1093747	-	BSGatlas-gene-1225	fabHB	BSU_10170	BSGatlas-operon-595
basu168	1093874	1094650	+	BSGatlas-gene-1226	yhfC	BSU_10180	BSGatlas-operon-596
basu168	1094366	1094987	-	BSGatlas-gene-1227	S359	NEW_1094366_1094987_C	BSGatlas-operon-597
basu168	1095063	1096103	+	BSGatlas-gene-1228	yhfE	BSU_10200	BSGatlas-operon-598
basu168	1096116	1096523	+	BSGatlas-gene-1229	yhfF	BSU_10210	BSGatlas-operon-598
basu168	98109	101037	+	BSGatlas-gene-123	rrnW-23S	BSU_RRNA_10	NA
basu168	1096560	1097849	-	BSGatlas-gene-1230	gltT	BSU_10220	BSGatlas-operon-599
basu168	1098120	1098260	-	BSGatlas-gene-1231	yhfH	BSU_10230	BSGatlas-operon-600
basu168	1098412	1099146	+	BSGatlas-gene-1232	yhfI	BSU_10240	BSGatlas-operon-601
basu168	1099159	1100154	+	BSGatlas-gene-1233	lplJ	BSU_10250	BSGatlas-operon-601
basu168	1100219	1100863	+	BSGatlas-gene-1234	yhfK	BSU_10260	BSGatlas-operon-601
basu168	1100980	1102521	+	BSGatlas-gene-1235	lcfB	BSU_10270	BSGatlas-operon-602
basu168	1102560	1102955	-	BSGatlas-gene-1236	yhfM	BSU_10280	BSGatlas-operon-603
basu168	1103104	1104384	+	BSGatlas-gene-1237	yhfN	BSU_10290	BSGatlas-operon-604
basu168	1104423	1105568	-	BSGatlas-gene-1238	aprE	BSU_10300	BSGatlas-operon-605
basu168	1106003	1106452	+	BSGatlas-gene-1239	yhfO	BSU_10310	BSGatlas-operon-606
basu168	101092	101211	+	BSGatlas-gene-124	rrnW-5S	BSU_RRNA_11	NA
basu168	1106524	1107516	+	BSGatlas-gene-1240	yhfP	BSU_10320	BSGatlas-operon-606
basu168	1107733	1108704	+	BSGatlas-gene-1241	yhfQ	BSU_10330	BSGatlas-operon-606
basu168	1108736	1109317	-	BSGatlas-gene-1242	yhfR	BSU_10340	BSGatlas-operon-607
basu168	1109388	1110482	-	BSGatlas-gene-1243	yhfS	BSU_10350	BSGatlas-operon-607
basu168	1110479	1111918	-	BSGatlas-gene-1244	yhfT	BSU_10360	BSGatlas-operon-607
basu168	1111925	1112485	-	BSGatlas-gene-1245	yhfU	BSU_10370	BSGatlas-operon-607
basu168	1112620	1113918	-	BSGatlas-gene-1246	hemAT	BSU_10380	BSGatlas-operon-608
basu168	1114057	1115586	-	BSGatlas-gene-1247	yhfW	BSU_10390	BSGatlas-operon-609
